winner_name,winner_rank,loser_name,loser_rank,player-name,prev-rank
Martin Klizan,36,Attila Balazs,284,,
Marton Fucsovics,159,Jozef Kovalik,115,,
Marton Fucsovics,159,Martin Klizan,36,,
Ricardo Rodriguez,753,Philip Wilbert Major,,,
Luis David Martinez,1231,Spencer Newman,,,
Ricardo Rodriguez,753,Justin Lunn,,,
Jordi Munoz Abreu,1259,Philip Wilbert Major,,,
Ayed Zatar,,Haydn Lewis,,,
Darian King,142,Bruno Britez,,,
Darian King,142,Ayed Zatar,,,
Bruno Britez,,Seanon Williams,,,
Federico Zeballos,509,Alberto Emmanuel Alvarado Larin,,,
Marcelo Arevalo,181,Hugo Dellien,743,,
Marcelo Arevalo,181,Federico Zeballos,509,,
Rodrigo Banzer,,Alberto Emmanuel Alvarado Larin,,,
Wilfredo Gonzalez,1019,Luis Patino,730,,
Manuel Sanchez,790,Christopher Diaz Figueroa,677,,
Christopher Diaz Figueroa,677,Gerardo Lopez Villasenor,1772,,
David Agung Susanto,740,Alberto Lim,,,
Ruben Gonzales,925,Aditya Hari Sasongko,1568,,
Ruben Gonzales,925,David Agung Susanto,740,,
Alberto Lim,,Anthony Susanto,2031,,
Jirat Navasirisomboon,997,Abdullah Maqdas,1298,,
Mohammad Ghareeb,,Wishaya Trongcharoenchaikul,773,,
Wishaya Trongcharoenchaikul,773,Abdullah Maqdas,1298,,
Aqeel Khan,,Shahin Khaledan,1995,,
Aisam Ul Haq Qureshi,,Anoosha Shahgholi,1865,,
Hamid Reza Nadaf,,M Abid Ali Khan Akbar,1491,,
Shahin Khaledan,1995,Mahammad Abid,,,
Hong Kit Jack Wong,911,Thien Nguyen Hoang,1443,,
Nam Hoang Ly,635,Hei Yin Andrew Li,1511,,
Nam Hoang Ly,635,Hong Kit Jack Wong,911,,
Karan Rastogi,1511,Thien Nguyen Hoang,1443,,
Nicolaas Scholtz,517,Jurgen Zopp,317,,
Lloyd George Muirhead Harris,288,Vladimir Ivanov,442,,
Lloyd George Muirhead Harris,288,Mattias Siimar,1511,,
Vladimir Ivanov,442,Nicolaas Scholtz,517,,
Nikoloz Basilashvili,89,Eero Vasa,1112,,
Harri Heliovaara,,George Tsivadze,819,,
Nikoloz Basilashvili,89,Emil Ruusuvuori,1511,,
Laurynas Grigelis,267,Lucas Andriamasilalao,,,
Antso Rakotondramanga,,Tadas Babelis,1345,,
Laurynas Grigelis,267,Antso Rakotondramanga,,,
Jean Jacques Rakotohasy,,Tomas Vaise,,,
Frederik Nielsen,408,Amine Ahouda,861,,
Reda El Amrani,682,Soren Hess Olesen,,,
Frederik Nielsen,408,Reda El Amrani,682,,
